Name,Amount
巴戟天 Ba Ji Tian,410
生白芍 Sheng Bai Shao,1000
白薇 Bai Wei,2
白芷 Bai Zhi,
北五味子 Bei Wu Wei Zi,
北杏 Bei Xing,
薄荷叶 Bo He Ye,130
苍术 Cang Zhu,1600
柴胡 Chai Hu,
蝉蜕 Chan Tui,300
炒白芍 Chao Bai Shao,
炒白术 Chao Bai Zhu,
炒山药 Chao Shan Yao,
炒神曲 Chao Shen Qu,
炒栀子 Chao Zhi Zi,450
车前子 Che Qian Zi,570
陈皮 Chen Pi,
赤芍 Chi Shao,1000
茺蔚子 Chong Wei Zi,
楮实子 Chu Shi Zi,
川芎 Chuan Xiong,
磁石 Ci Shi,
炙龟板 Zhi Gui Ban,
大黄 Da Huang,20
丹皮 Dan Pi,
丹参 Dan Shen,
当归 Dang Gui,1600
独活 Du Huo,
杜仲 Du Zhong,500
阿胶 E Jiao,
防风 Fang Feng,600
茯苓 Fu Ling,1600
覆盆子 Fu Pen Zi,850
干姜 Gan Jaing,380
葛根 Ge Gen,600
桂枝 Gui Zhi,600
海蛤粉 Hai Ge Fen,
寒水石 Han Shui Shi,600
合欢皮 He Huang Pi,390
红花 Hong Hua,
红景天 Hong Jing Tian,1245
厚朴 Hou Po,600
胡麻仁 Hu Ma Ren,
琥珀粉 Hu Po Fen,
怀牛膝 Huai Niu Xi,
黄连 Huang Lian,
黄芪 Huang Qi,
黄芩 Huang Qin,275
藿香 Huo Xiang,
鸡内金 Ji Nei Jin,240
鸡血藤 Ji Xue Teng,2600
姜半夏 Jiang Ban Xia,600
降香 Jiang Xiang,190
焦麦芽 Jiao Mai Ya,
炒山楂 Chao Shan Zha,600
炒神曲 Chao Shen Qu,200
桔梗 Jie Geng,
金银花 Jin Yin Hua,600
荆芥 Jing Jie,600
菊花 Ju Hua,680
橘皮 Ju Pi,
枸杞子 Ju Qi Zi,
决明子 Jue Ming Zi,600
莱菔子 Lai Fu Zi,310
连翘 Lian Qiao,480
龙齿 Long Chi,
麦冬 Mai Dong,4100
没药 Mo Yao,150
木瓜 Mu Gua,600
木通 Mu Tong,
木香 Mu Xiang,
牛蒡子 Niu Bang Zi,200
炮附片 Pao Fu Pian,1000
佩兰 Pei Lan,
蒲公英 Pu Gong Ying,760
羌活 Qiang Huo,
秦皮 Qin Pi,380
青蒿 Qing Hao,
全瓜蒌 Quan Gua Lou,600
肉桂 Rou Gui,230
乳香 Ru Xiang,
三七粉 San Qi Fen,
桑白皮 Sang Bai Pi,
桑寄生 Sang Ji Sheng,
桑叶 Sang Ye,690
沙姜 Sha Jiang,600
砂仁 Sha Ren,
山萸肉 Shan Yu Rou,2215
射干 She Gan,
神曲 Shen Qu,
生地 Sheng Di,510
生甘草 Sheng Gan Cao,390
生姜 Sheng Jiang,
生龙骨 Sheng Long Gu,1000
升麻 Sheng Ma,
生牡蛎 Sheng Mu Li,
生晒参 Sheng Shai Shen,
生石膏 Sheng Shi Gao,
熟地黄 Shu Di Huang,
蜀椒 Shu Jiao,
苏梗 Su Geng,160
苏叶 Su Ye,360
苏子 Su Zi,
檀香 Tan Xiang,265
桃仁 Tao Ren,
天门冬 Tian Dong,
天花粉 Tian Hua Fen,
天麻 Tian Ma,640
田七粉 Tian Qi,
葶苈子 Ting Li Zi,140
菟丝子 Tu Si Zi,
威灵仙 Wei Ling Xian,
乌梅 Wu Mei,
五味子 Wu Wei Zi,
吴茱萸 Wu Zhu Yu,
夏枯草 Xia Ku Cao,600
香附 Xiang Fu,600
薤白 Xie Bai,140
续断 Xu Duan,360
玄参 Xuan Shen,
延胡索 Yan Hu Suo,
益母草 Yi Mu Cao,820
益智仁 Yi Zhi Ren,600
郁金 Yu Jin,
远志 Yuan Zhi,600
泽泻 Ze Xie,
浙贝母 Zhe Bei Mu,
炙甘草 Zhi Gan Cao,600
知母 Zhi Mu,600
枳壳 Zhi Qiao,325
枳实 Zhi Shi,410
竹叶 Zhu Ye,600
紫草 Zi Cao,
通草 tong cao,30
茜草 qian cao,800
石决明 shi jue ming,1500
青皮 qing pi,220
生白术 sheng bai zhu,1725
炒槟榔 chao bin lang,440
蔓荆子 man jing zi,300
赤石脂 chi shi zhi,600
地龙 di long,490
桑椹 sang shen,310
仙鹤草 xian he cao,820
生半夏 sheng ban xia,3000
槐米 huai mi,3360
玉竹 yu zhu,600
肉苁蓉 rou cong rong,400
乌药 wu yao,600
紫石英 zi shi ying,600
茵陈 yin chen,600
党参 dang shen,900
山药 shan yao,500
骨碎补 su sui bu,90
藁本 hao ben,295
椿根皮 chun gen pi,290
茶树根 cha shu gen,460
地骨皮 di gu pi,210
百合 bai he,320
钩藤 gou teng,535
补骨脂 bu gu zhi,115
茯神 fu shen,530
黄柏 huang bo,425
滑石 hua shi,430
女贞子 nv shen zi,190
生麦芽 sheng mai ya,350
虎杖 hu zhang,205
北沙参 bei sha shen,360
薏米 yi mi,500
石菖蒲 shi chang pu,155
五灵脂 wu ling zhi,135
紫菀 zi wan,145
旋复花 xuan fu hua,255
万年青 wan nian qing,480
生铁落 sheng tie luo,480
金钱草 jin qian cao,450
泽兰 ze lan,340
旱莲草 han lian cao,300
荷叶 he ye,275
细辛 xi xin,520
艾草 ai cao,250
毛刺五加 mao ci wu jia,760
酒大黄 jiu da huang,30
萆薢 bi xie,30
沉香 chen xiang,90
